Removed_Feature,LogisticRegression_acc_change,LogisticRegression_f1_change,LogisticRegression_auc_change,RandomForest_acc_change,RandomForest_f1_change,RandomForest_auc_change,XGBoost_acc_change,XGBoost_f1_change,XGBoost_auc_change
Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Age,-0.014594187433306205,-0.01681651416398955,-0.0062606982090077645,-0.0033519553072623998,-0.007682787578328076,-0.002317278109706278,-0.0011235955056179137,-0.0029464058928118098,0.003815532196125404
Sex,0.0,0.0,0.0004277577151177159,0.0,-0.0011469679715921943,-0.0028316453680140574,-0.0011235955056179137,-0.023132946440359903,0.0031939215472969185
Pclass,-0.011229677986316022,-0.014775885800422994,-0.006530486473880437,0.0011173184357542443,0.0029854519613047303,-0.011455347486929668,0.008963655765488743,0.03262843798650761,-0.008223676024422089
Familysize,-0.006735295963844146,-0.003997020638324189,-0.007432189868368688,0.006735295963844146,0.0038147274454665148,-0.003649611746645909,-0.011242232126043472,-0.005768774899876372,-0.0009460320372118858
Fare_sort_group,0.0011110413658902418,0.0024055786405270396,-0.0019432825166184609,0.0022471910112360494,0.0018214339833284576,-0.0015403945601158986,-0.00786516853932584,-0.03987249164224105,0.001176058195697438
Title_Sort_group,-0.022434247693176923,-0.03030447719719953,-0.011220788565634798,-0.0033331240976710585,-0.012258916315156965,0.0006453161095456572,-0.004494382022471766,-0.05164318050030847,-0.0032916354705929685
Embarked_group,-0.0011235955056179137,-0.001678699883917556,-0.0011403773533927852,0.012334442282342595,0.01924862604334654,-0.0008182810056973633,-0.0022471910112358273,-0.011921069276814245,0.002471658678338984
